,차량번호,보고시각,주소(지번),x좌표,y좌표
26,800조2173,2024-02-03 11:11,서울특별시 중구 신당동 225-1,127.0112281,37.56474141
4,800조2173,2024-02-04 18:01,서울특별시 중구 신당동 340-151,127.0127287,37.55584905
15,800조2173,2024-02-04 19:49,서울특별시 중구 신당동 241-189,127.0138041,37.56257307
20,800조2173,2024-02-04 21:16,서울특별시 중구 충무로5가 70-1,126.9979682,37.56219851
21,800조2173,2024-02-04 21:19,서울특별시 중구 광희동2가 352-4,127.0069908,37.56410014
26,800조2173,2024-02-04 22:28,서울특별시 중구 신당동 307-40,127.012785,37.56071578
27,800조2173,2024-02-04 22:34,서울특별시 중구 신당동 316-3,127.0156618,37.55900679
3,800조2173,2024-02-05 6:39,서울특별시 중구 신당동 369-55,127.0109211,37.55501212
12,800조2173,2024-02-05 8:56,서울특별시 중구 회현동1가 22-2,126.9803301,37.55968536
19,800조2173,2024-02-05 9:47,서울특별시 중구 신당동 133-35,127.018878,37.56344391
0,800조2173,2024-02-06 6:03,서울특별시 중구 신당동 248-45,127.012193,37.56474465
7,800조2173,2024-02-06 7:12,서울특별시 중구 황학동 1534-1,127.0216491,37.56974806
16,800조2173,2024-02-06 8:33,서울특별시 중구 쌍림동 158-3,127.0044335,37.563796
20,800조2173,2024-02-06 8:48,서울특별시 중구 충무로1가 25-11,126.9820174,37.56107028
27,800조2173,2024-02-06 10:21,서울특별시 중구 황학동 2529-1,127.0212026,37.56641346
28,800조2173,2024-02-06 10:24,서울특별시 중구 황학동 1008,127.0213535,37.56724596
2,800조2173,2024-02-07 6:16,서울특별시 중구 신당동 130-2,127.0188222,37.56546188
30,800조2173,2024-02-07 11:29,서울특별시 중구 신당동 387-47,127.0106216,37.56165448
20,800조2173,2024-02-08 9:29,서울특별시 중구 신당동 373-111,127.0120921,37.55183481
