,행정동명,통,노드_x,노드_y,총인구수,세대수,비율,쓰레기양
164,신당5동,9,123,2,471,175,0.015735667513029534,322.58118401710544
148,약수동,6,124,3,156,87,0.00521181344380596,71.22811706534812
165,동화동,3,125,1,412,218,0.01376453294133369,564.3458505946812
166,약수동,8,126,1,309,168,0.010323399706000267,423.259387946011
155,신당5동,4,127,2,631,341,0.021081117198984364,432.16290257917944
112,신당5동,15,128,3,471,247,0.015735667513029534,215.05412267807029
113,신당5동,15,129,3,471,247,0.015735667513029534,215.05412267807029
167,신당5동,17,130,3,203,147,0.006782039289055191,92.6878702837543
100,황학동,3,131,4,154,128,0.005144995322731525,52.73620205799813
151,신당5동,3,132,4,469,301,0.0156688493919551,160.60570626753977
101,황학동,3,133,4,154,128,0.005144995322731525,52.73620205799813
168,신당5동,17,134,3,203,147,0.006782039289055191,92.6878702837543
169,신당5동,17,135,3,203,147,0.006782039289055191,92.6878702837543
152,신당5동,3,136,4,469,301,0.0156688493919551,160.60570626753977
153,신당5동,3,137,4,469,301,0.0156688493919551,160.60570626753977
123,신당5동,5,138,3,615,271,0.02054657223038888,280.8031538153147
170,황학동,6,139,1,290,161,0.00968862755579313,397.2337297875183
21,신당동,2,140,22,569,449,0.019009755445676867,35.427271512397795
22,신당동,2,141,22,569,449,0.019009755445676867,35.427271512397795
23,신당동,2,142,22,569,449,0.019009755445676867,35.427271512397795
24,신당동,2,143,22,569,449,0.019009755445676867,35.427271512397795
25,신당동,2,144,22,569,449,0.019009755445676867,35.427271512397795
26,신당동,2,145,22,569,449,0.019009755445676867,35.427271512397795
27,신당동,2,146,22,569,449,0.019009755445676867,35.427271512397795
28,신당동,2,147,22,569,449,0.019009755445676867,35.427271512397795
29,신당동,2,148,22,569,449,0.019009755445676867,35.427271512397795
171,청구동,19,149,1,899,348,0.030034745422958708,1231.424562341307
77,신당동,3,150,8,360,284,0.01202726179339837,61.63971669116665
78,신당동,3,151,8,360,284,0.01202726179339837,61.63971669116665
68,신당동,4,152,6,265,193,0.008853401042362688,60.498240456145034
30,신당동,2,153,22,569,449,0.019009755445676867,35.427271512397795
31,신당동,2,154,22,569,449,0.019009755445676867,35.427271512397795
32,신당동,2,155,22,569,449,0.019009755445676867,35.427271512397795
33,신당동,2,156,22,569,449,0.019009755445676867,35.427271512397795
34,신당동,2,157,22,569,449,0.019009755445676867,35.427271512397795
35,신당동,2,158,22,569,449,0.019009755445676867,35.427271512397795
69,신당동,4,159,6,265,193,0.008853401042362688,60.498240456145034
79,신당동,3,160,8,360,284,0.01202726179339837,61.63971669116665
119,청구동,6,161,5,344,154,0.011492716824802886,94.24027796338366
36,신당동,2,162,22,569,449,0.019009755445676867,35.427271512397795
70,신당동,4,163,6,265,193,0.008853401042362688,60.498240456145034
80,신당동,3,164,8,360,284,0.01202726179339837,61.63971669116665
52,청구동,1,165,2,266,159,0.008886810102899906,182.17960710944806
71,신당동,4,166,6,265,193,0.008853401042362688,60.498240456145034
109,청구동,4,167,4,399,220,0.01333021515434986,136.63470533208607
110,청구동,4,168,4,399,220,0.01333021515434986,136.63470533208607
46,신당동,13,169,2,605,328,0.020212481625016706,414.35587331284245
120,청구동,6,170,5,344,154,0.011492716824802886,94.24027796338366
72,신당동,4,171,6,265,193,0.008853401042362688,60.498240456145034
